date,PET,rain,flow
2018-12-14,inf,0.2,39502080.0
2018-12-15,inf,0.0,39726720.0
2018-12-16,inf,0.0,39951360.0
2018-12-17,inf,0.0,39951360.0
2018-12-18,inf,0.0,39951360.0
2018-12-19,inf,0.0,39052800.0
2018-12-20,inf,0.2,38603520.0
2018-12-21,inf,0.0,38378880.0
2018-12-22,inf,0.0,38603520.0
2018-12-23,inf,0.0,37929600.0
2018-12-24,inf,0.0,35683200.0
2018-12-25,inf,0.0,35458560.0
2018-12-26,inf,0.0,36132480.0
2018-12-27,inf,0.0,37480320.0
2018-12-28,inf,0.0,37480320.0
2018-12-29,inf,2.4,38603520.0
2018-12-30,inf,3.0,41074560.0
2018-12-31,inf,0.0,41748480.0
2019-01-01,inf,0.0,40003200.0
2019-01-02,inf,0.0,38707200.0
2019-01-03,inf,0.0,40262400.0
2019-01-04,inf,0.0,40262400.0
2019-01-05,inf,0.0,37670400.0
2019-01-06,inf,0.0,37411200.0
2019-01-07,inf,0.0,37152000.0
2019-01-08,inf,34.6,37152000.0
2019-01-09,inf,0.0,39225600.0
2019-01-10,inf,0.2,36892800.0
2019-01-11,inf,0.0,33782400.0
2019-01-12,inf,0.0,32486400.0
2019-01-13,inf,0.0,33004800.0
2019-01-14,inf,0.0,33523200.0
2019-01-15,inf,0.0,34300800.0
2019-01-16,inf,0.0,33523200.0
2019-01-17,inf,0.0,33004800.0
2019-01-18,inf,0.0,34560000.0
2019-01-19,inf,0.0,36633600.0
2019-01-20,inf,0.0,35596800.0
2019-01-21,inf,0.0,36633600.0
2019-01-22,inf,0.0,35078400.0
2019-01-23,inf,0.0,34560000.0
2019-01-24,inf,0.0,33004800.0
2019-01-25,inf,0.0,31968000.0
2019-01-26,inf,0.0,30672000.0
2019-01-27,inf,0.0,30672000.0
2019-01-28,inf,0.0,31190400.0
2019-01-29,inf,0.0,31968000.0
2019-01-30,inf,0.0,31190400.0
2019-01-31,inf,0.0,34560000.0
2019-02-01,inf,0.0,35596800.0
2019-02-02,inf,0.0,36115200.0
2019-02-03,inf,0.0,35596800.0
2019-02-04,inf,0.0,36892800.0
2019-02-05,inf,0.0,36374400.0
2019-02-06,inf,0.0,36374400.0
