date,temp,humid,wind,radia,precip,ETp,Q(l/s),ks mrk.,Q_mm_d
2007-12-28 12:00:00,6.919444444444444,90.84722222222224,6.376388888888889,3.0,0.1,0.2,688.947619047619,0.0,0.4251791020408163
2007-12-29 00:00:00,5.198611111111111,87.76388888888889,4.722222222222222,4.819444444444445,1.4,0.305,684.0296296296297,0.0,0.422144
2007-12-29 12:00:00,5.279166666666667,87.84722222222223,6.005555555555556,1.9444444444444444,0.3,0.305,684.0172413793103,0.0,0.422136354679803
2007-12-30 00:00:00,5.470833333333333,88.72222222222223,5.555555555555555,27.375,0.4,0.03,669.6074074074074,0.0,0.4132434285714286
2007-12-30 12:00:00,2.077777777777777,93.72222222222224,2.3875,17.791666666666668,0.0,0.03,658.7225806451613,0.0,0.40652593548387095
2007-12-31 00:00:00,1.4972222222222222,95.69444444444444,2.2472222222222222,35.708333333333336,0.0,0.0,631.7555555555556,0.0,0.38988342857142855
2007-12-31 12:00:00,1.6583333333333334,84.88888888888889,2.8069444444444445,17.625,0.1,0.0,616.4842105263158,0.0,0.38045882706766915
2008-01-01 00:00:00,0.1624999999999999,89.72222222222223,2.368055555555556,10.25,0.0,0.135,606.0,0.0,0.37398857142857145
2008-01-01 12:00:00,1.6458333333333333,92.76388888888889,2.725,5.291666666666667,0.0,0.135,604.14375,0.0,0.3728429999999999
2008-01-02 00:00:00,1.5138888888888888,95.36111111111111,3.991666666666666,2.180555555555556,1.0,0.225,591.2428571428571,0.0,0.364881306122449
2008-01-02 12:00:00,0.9847222222222224,84.70833333333333,5.936111111111111,3.6666666666666665,0.0,0.225,602.3702702702703,0.0,0.3717485096525097
2008-01-03 00:00:00,-0.8527777777777777,73.47222222222223,8.430555555555555,10.944444444444445,0.0,0.39,611.5,0.0,0.37738285714285713
2008-01-03 12:00:00,-2.240277777777778,80.84722222222223,8.469444444444443,4.152777777777778,0.1,0.39,602.6348837209302,0.0,0.3719118139534884
2008-01-04 00:00:00,-2.1944444444444446,80.15277777777777,8.74861111111111,4.888888888888889,0.0,0.33,510.4066666666666,0.0,0.3149938285714285
2008-01-04 12:00:00,-2.158333333333333,82.625,8.204166666666667,2.638888888888889,0.0,0.33,485.06,0.0,0.29935131428571427
2008-01-05 00:00:00,-1.2541666666666669,85.20833333333333,7.945833333333334,5.361111111111111,0.0,0.195,549.2613636363636,0.0,0.3389727272727273
2008-01-05 12:00:00,-0.3375,96.81944444444444,5.529166666666667,2.4166666666666665,3.8,0.195,599.6,0.0,0.37003885714285717
2008-01-06 00:00:00,2.052777777777778,100.0,2.1333333333333333,4.722222222222222,2.8,0.115,582.8333333333334,0.0,0.35969142857142855
2008-01-06 12:00:00,2.6625,99.29166666666669,1.8791666666666669,3.625,0.0,0.115,636.4421052631578,0.0,0.3927756992481202
2008-01-07 00:00:00,2.6500000000000004,97.65277777777776,2.469444444444445,16.23611111111111,0.0,0.09,670.655,0.0,0.41388994285714287
2008-01-07 12:00:00,2.702777777777777,97.375,3.7583333333333337,1.6944444444444444,5.0,0.09,693.2282051282052,0.0,0.4278208351648352
2008-01-08 00:00:00,4.552777777777778,92.47222222222224,6.468055555555555,25.05555555555556,1.5,0.09,837.695744680851,0.0,0.5169779452887537
2008-01-08 12:00:00,4.570833333333334,92.54166666666669,3.638888888888889,17.73611111111111,0.0,0.09,961.14,0.0,0.5931606857142857
2008-01-09 00:00:00,4.043055555555556,92.34722222222224,3.834722222222223,8.555555555555555,0.0,0.175,921.8297297297296,0.0,0.5689006332046331
2008-01-09 12:00:00,3.702777777777778,93.86111111111111,2.975,3.5972222222222223,1.1,0.175,895.2388888888888,0.0,0.5524902857142857
2008-01-10 00:00:00,3.4791666666666665,95.58333333333331,3.8375,3.5,5.6,0.235,891.0894736842106,0.0,0.5499295037593985
